店名,地區,地址,電話,ID,類別
留白,荃灣,西樓角路202-216號荃昌中心昌寧商場地下12號舖,N/A,180,Cafe
混醬坊,深水埗,長沙灣道84號地下B舖,96059712,181,港式/ 茶餐廳
Soul Good,屯門,達仁坊1-29號遠東發展屯門中心大廈地下L號舖,36124623,182,西式
吃什麼,中環,雲咸街75-77號嘉兆商業大廈地下A號舖,28109278,183,台式
美樂小食,金鐘,夏慤道18號海富中心103-104號舖,25271900,184,小食
森川弁当,金鐘,夏慤道18號海富中心2樓90號舖,27799780,185,日式
Good Good,西環,西營盤第二街地下2號A舖,N/A,186,素食
Second Sip by Studio Caffeine,大坑,書館街23號地舖,28828956,187,Cafe
Cafe R&C,銅鑼灣,希雲街22-24號地舖,2890 9838,188,Cafe
Brew Note Coffee Roaster,北角,堡壘街19號地下,25629990,189,Cafe
REACTION Coffee Roasters,跑馬地,成和道67號地下B及C舖,26747388,190,Cafe
Tuckshop by Social Club,西環,西營盤干諾道西158A號地下4-7號舖,59363588,191,Cafe
3rd Space,上環,差館上街16號地舖,92209785,192,Cafe
Bound By Hillywood,太子,界限街32號地舖,23966488,193,Cafe
半路咖啡,上環,東街12號地舖,95117197,194,Cafe
半路咖啡,上環,摩羅上街26號地舖,95117197,195,Cafe
海鮮角樂,西環,堅尼地城加多近街67號地下G16號舖,62929472,196,港式/ 茶餐廳
媽不在家,油麻地,上海街302號1樓,97705760,197,餅店
廿一由八,觀塘,鴻圖道59號鵬光大廈11樓,23211738,198,Cafe
Parc古道具公園,觀塘,鴻圖道60號鴻福工廠大廈10樓B2號舖,55440534,199,Cafe
Tony's Hell,佐敦,文苑街38號地舖,57244537 (WhatsApp),200,西式
Sogno Gelato,荃灣,楊屋道1號荃新天地2期UG樓85號舖,60984187,201,甜品
Blacksmith Coffee Shop,西貢,市場街17號地下,23530039,202,Cafe
阿叔泰麵,元朗,西菁街20號益輝大廈地下3號舖,28873269,203,泰式
365小食部,葵涌,石籬大白田街29號地下,23201660,204,小食
大飯糖甜品小食屋,大圍,美田路30號美林邨熟食亭5-8號舖,61317177,205,小食
Oh! My Dog!,葵涌,石籬大隴街153號怡勝花園地下2號舖,31051991,206,西式
喜樂小店,長洲,中興新街17號地舖,9336 0797,207,甜品
Your Home Cafe,銅鑼灣,駱克道512號3樓,28385656,208,Cafe
Reactors Coffee,紅磡,都會道6-10號置富都會8樓823號舖,39070388,209,Cafe
Appendix Coffee & Bar,銅鑼灣,謝斐道535號Tower 535 3樓301號舖,31022001,210,Cafe
Coffee & Laundry,上環,皇后街1號地下F號舖,N/A,211,Cafe
Filters Lane,半山,半山堅道111號,25171868,212,Cafe
小房子 The Hut,土瓜灣,落山道108號志昌工業大廈8樓C室,67736915,213,Cafe
鮮一,天水圍,天秀路8號天一商城2樓2003號舖,36650311,214,日式
博多拉麵別天神,銅鑼灣,告士打道277號地下3A號舖,34882693,215,日式
博多拉麵別天神,紅磡,民泰街6號地下,34881301,216,日式
博多拉麵別天神,尖沙咀,阿士厘道24號天星大廈地下A1地舖,34880456,217,日式
博多拉麵別天神,旺角,山東街40Q號地下,34880014,218,日式
博多拉麵別天神,中環,擺花街12-16號合成商業大廈地下3號舖,34880015,219,日式
博多拉麵別天神,北角,書局街22號地下,34881330,220,日式
Dog99 Coffee,深水埗,福榮街23號地舖,35654937,221,Cafe
治癒羔羊,長沙灣,福榮街344-348號昌發工廠大廈D座9樓8室,61455321,222,Cafe
真台客,元朗,仁樂坊5號利發大廈地下G及F號舖,24430388,223,台式
Menya Kaku,元朗,裕榮徑11號好旺洋樓地下5號舖,61065088,224,日式
小息時間,元朗,擊壤路9號金寶大廈地下6B號舖,61141759,225,小食
JaseLab Cookery,元朗,安樂路1-11號明珠樓地下11號舖,N/A,226,餅店
旮旯,元朗,裕榮徑11號好旺洋樓地下16號舖,66825273,227,甜品
上車車仔麵,沙田,石門安群街3號京瑞廣場1期地下G06號舖,24480028,228,港式/ 茶餐廳
茶星人,天水圍,天靖街3號天盛商場地下天盛街市M419號舖,91264865,229,飲品
茶星人,荔枝角,美孚新村二期吉利徑49號地下E2號舖,26061636,230,飲品
很得輝,屯門,仁愛堂街46號金滿閣地下C2號舖,91948386,231,小食
寶島,屯門,湖翠路138號啟豐園商場地下25號,24573538,232,台式
仙桃居,屯門,龍門居商場地下105號,24496676,233,Cafe
智勝所小食店,屯門,青柏徑6號鹿苑地下3號舖,35904303,234,小食
彩aya,元朗,建德街26號益利大廈地下14號舖,63508637,235,日式
古月聚台灣古早味美食,元朗,馬田路20-30B號安寧大廈地下2號舖,37051396,236,台式
CoHee Studio,元朗,錦田市街152號地舖,94497310,237,Cafe
AELLO,元朗,民合徑8號幸福樓2期地下18號舖,N/A,238,飲品
夏捌月,元朗,媽橫路7號富來花園A座地下15號舖,67261786,239,西式
夏捌月,元朗,元朗教育路54-56號順發大樓地下D號,68934143 (WhatsApp),240,西式
Accro Coffee,元朗,安寧路162號金城樓地下D號舖,94301433,241,Cafe
嘉兵衛,元朗,馬田路38號怡豐花園地下5號舖,23432023,242,日式
蟹仙海鮮蒸氣鍋,新蒲崗,仁愛街50號地舖,25656118,243,火鍋
蟹仙海鮮蒸氣鍋,九龍城,龍崗道2-4號地下,23609718,244,火鍋
Little Break Coffee & Kitchen,荔枝角,長義街9號D2 Place一期地下G03舖,27422782,245,Cafe
深燒酒,灣仔,駱克道397號地下,37052556,246,日式
芳華絕代,旺角,界限街36號1-2樓,23662113,247,泰式
MUM 日常野菜料理,佐敦,彌敦道380號香港逸東酒店LG樓8號舖,2782 1818,248,素食
王孖記果子,荔枝角,青山道475A號地下A舖,55929088,249,甜品
九份茶舍,旺角,弼街84號地下A號舖,N/A,250,飲品
九份茶舍,葵芳,葵富路7號葵涌廣場2樓2015號舖,N/A,251,飲品
九份茶舍,沙田,石門安群街1號京瑞廣場二期1樓145號舖,N/A,252,飲品
新苑記粉麵茶室,葵涌,禾塘咀街119號D地舖,28138928,253,港式/ 茶餐廳
味來喇沙專門店,馬鞍山,鞍誠街8號新港城中心大街(3期)地下02A號舖,36282278,254,星馬菜
